Correspondence between the short and original species names from:
	/home/z/BioNetGen-2.5.2/e4.net

s0	: E(s)
s1	: F(s)
s2	: S(p1~U,p2~U,p3~U,p4~U)
s3	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~U)
s4	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~U)
s5	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~U)
s6	: E(s!1).S(p1~U,p2~U,p3~U,p4~U!1)
s7	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~U,p4~U)
s8	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U!2,p4~U)
s9	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U,p4~U!2)
s10	: S(p1~P,p2~U,p3~U,p4~U)
s11	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U!2,p4~U)
s12	: E(s!1).E(s!2).S(p1~U,p2~U!1,p3~U,p4~U!2)
s13	: S(p1~U,p2~P,p3~U,p4~U)
s14	: E(s!1).E(s!2).S(p1~U,p2~U,p3~U!1,p4~U!2)
s15	: S(p1~U,p2~U,p3~P,p4~U)
s16	: S(p1~U,p2~U,p3~U,p4~P)
s17	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U!3,p4~U)
s18	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U!2,p3~U,p4~U!3)
s19	: E(s!1).S(p1~U!1,p2~P,p3~U,p4~U)
s20	: E(s!1).E(s!2).E(s!3).S(p1~U!1,p2~U,p3~U!2,p4~U!3)
s21	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~U)
s22	: E(s!1).S(p1~U!1,p2~U,p3~U,p4~P)
s23	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~U)
s24	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~U)
s25	: E(s!1).S(p1~P,p2~U,p3~U,p4~U!1)
s26	: F(s!1).S(p1~P!1,p2~U,p3~U,p4~U)
s27	: E(s!1).E(s!2).E(s!3).S(p1~U,p2~U!1,p3~U!2,p4~U!3)
s28	: E(s!1).S(p1~U,p2~U!1,p3~P,p4~U)
s29	: E(s!1).S(p1~U,p2~U!1,p3~U,p4~P)
s30	: E(s!1).S(p1~U,p2~P,p3~U!1,p4~U)
s31	: E(s!1).S(p1~U,p2~P,p3~U,p4~U!1)
s32	: F(s!1).S(p1~U,p2~P!1,p3~U,p4~U)
s33	: E(s!1).S(p1~U,p2~U,p3~U!1,p4~P)
s34	: E(s!1).S(p1~U,p2~U,p3~P,p4~U!1)
s35	: F(s!1).S(p1~U,p2~U,p3~P!1,p4~U)
s36	: F(s!1).S(p1~U,p2~U,p3~U,p4~P!1)
s37	: E(s!1).E(s!2).E(s!3).E(s!4).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4)
s38	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~P,p4~U)
s39	: E(s!1).E(s!2).S(p1~U!1,p2~U!2,p3~U,p4~P)
s40	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U!2,p4~U)
s41	: E(s!1).E(s!2).S(p1~U!1,p2~P,p3~U,p4~U!2)
s42	: E(s!1).F(s!2).S(p1~U!1,p2~P!2,p3~U,p4~U)
s43	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~U!2,p4~P)
s44	: E(s!1).E(s!2).S(p1~U!1,p2~U,p3~P,p4~U!2)
s45	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~P!2,p4~U)
s46	: E(s!1).F(s!2).S(p1~U!1,p2~U,p3~U,p4~P!2)
s47	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U!2,p4~U)
s48	: E(s!1).E(s!2).S(p1~P,p2~U!1,p3~U,p4~U!2)
s49	: S(p1~P,p2~P,p3~U,p4~U)
s50	: E(s!1).E(s!2).S(p1~P,p2~U,p3~U!1,p4~U!2)
s51	: S(p1~P,p2~U,p3~P,p4~U)
s52	: S(p1~P,p2~U,p3~U,p4~P)
s53	: E(s!1).F(s!2).S(p1~P!2,p2~U!1,p3~U,p4~U)
s54	: E(s!1).F(s!2).S(p1~P!2,p2~U,p3~U!1,p4~U)
